Bill No.,Session,Topic,Function,Code,Section,Code Division,Bill Section,Date added to this list (thoroughness check),Checked for extra sections?,,,Special notes:
AB 879,2017,General Plan - § 65400 - 65404,"Requires charter cities to comply with annual general plan report, include housing and zoning data, and comply with HCD standards and forms",Government,§ 65400,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66302",1/1.5,,Y,,,
SB 35,2017,General Plan - § 65400 - 65404,Requires annual reporting of housing data,Government,§ 65400,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66302",1/1.5,,Y,,,
AB 1397,2017,Housing Element - § 65580 - 65589.11,Legislative declaration that adequate sites are essential,Government,§ 65580,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66305",1,7/31/22,Y,,,
AB 73,2017,Housing Element - § 65580 - 65589.11,Technical: makes a few small code reference adjustments,Government,§ 65582.1,,1/1.5,8/4/22,Y,,,
SB 35,2017,Housing Element - § 65580 - 65589.11,Adds statutory reference to 65913.4,Government,§ 65582.1,,2/2.5,8/4/22,Y,,,
AB 1397,2017,Housing Element - § 65580 - 65589.11,Tightens requirements on local inventories of sites available for housing. Requires vacant sites to have realistic and demonstrated potential for development. Requires more analysis about costs and delays of building.,Government,§ 65583,,2/2.5,,Y,,,
AB 879,2017,Housing Element - § 65580 - 65589.11,"Requires housing element analyses of constraints on housing to include local ordinances, permit requests for lower density projects and timelines/outcomes, local measures taken to reduce nongovernmental constraints",Government,§ 65583,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66306",2/2.5,,Y,,,
AB 1397,2017,Housing Element - § 65580 - 65589.11,Adds requirements on sites that can be included in inventories ,Government,§ 65583.2,,3,7/31/22,Y,,,
AB 72,2017,Housing Element - § 65580 - 65589.11,"HCD reviews inconsistent actions, notifies AG",Government,§ 65585,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66313",1,,Y,,,
AB 1515 ,2017,Housing Element - § 65580 - 65589.11,Increased the range of projects subject to housing accountability act,Government,§ 65589.5,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66318",1/1.5,,Y,,,
SB 167,2017,Housing Element - § 65580 - 65589.11,"Strengthens housing accountability act, limits when cities can refuse projects, imposes fines",Government,§ 65589.5,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66317",1,,Y,,,
SB 540,2017,Workforce Housing Opportunity Zone  § 65620 - 65625,Establishes workforce housing opportunity zones subject to one single EIR,Government,§ 65620-65625,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66322",2,,Y,,,
AB 879,2017,Local Planning - § 65100 - 65763,Chater cities must submit status reports on housing element goals,Government,§ 65700,,3,8/4/22,Y,,,
AB 1505,2017,Zoning Regulations - § 65800-65912,Allows inclusionary zoning requirements,Government,§ 65850,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66325",1,,Y,,,
AB 1505,2017,Zoning Regulations - § 65800-65912,allows HCD to review ordinances. (Overrule Palmer case),Government,§ 65850.1,,2,8/2/22,Y,,,
SB 166,2017,Zoning Regulations - § 65800-65912,"Requires zoning for ""not net loss"" of units",Government,§ 65863,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66331",1,,Y,,,
SB 35,2017,Housing Development Approvals - § 65913-65914.5,"Creates ministerial approval for qualifying projects, limits parking requirements, extends expiration dates for approvals, requires annual reporting",Government,§ 65913.4,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66336",3,,Y,,,
AB 73,2017,Housing Sustainability Districts - § 66200 - 66210,"Allows cities to create a housing sustainability district, streamlines review",Government,§ 66200-66210,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66361",2,,Y,,,
AB 879,2017,Dept. of Housing and Comm. Dev. - § 50400 - 50899.7,Directs HCD to conduct a study of local permitting fees,Health and Safety,§ 50456,Division 31: Housing and Home Finance - § 50000 - 54917,4,,Y,,,
AB 73,2017,Environmental Quality - § 21000 - 21189,Some EIR requirements don't apply to projects within Housing Sustainability Districts,Public Resources,§ 21155.10-21155.11,,3,8/4/22,Y,,,
SB 1333,2018,General Plan - § 65350 - 65362,Charter cities adopt general plans by resolution,Government,§ 65356,,2,8/4/22,Y,,,
AB 686,2018,Housing Element - § 65580 - 65589.11,Specifies how housing elements must include information about AFFH,Government,§ 65583,,2/2.5,8/4/22,Y,,,
AB 2162,2018,Housing Element - § 65580 - 65589.11,Streamlines approval for supportive housing projects/includes AFFH,Government,§ 65583,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66323",2/2.5,8/3/22,Y,,,
AB 686,2018,Housing Element - § 65580 - 65589.11,The inventory of land must be consistent with AFFH,Government,§ 65583.2,,3/3.5/4/4.5,8/4/22,Y,,,
AB 1771,2018,Housing Element - § 65580 - 65589.11,"Making RHNA process include specific data, allowing appeals, including AFFH",Government,§ 65584,"Title 7, Division 1: Planning and Zoning -  § 65000 - 66312",1/1.5,,Y,,,
SB 828,2018,Housing Element - § 65580 - 65589.11,Changes the RHNA process,Government,§ 65584,,1/1.5,,Y,,,
AB 1771,2018,Housing Element - § 65580 - 65589.11,Requires data about units lost during emergency (wildfires)/overcrowding/cost burdens,Government,§ 65584.01,,2/2.5,8/3/22,Y,,,
SB 828,2018,Housing Element - § 65580 - 65589.11,More changes to RHNA process,Government,§ 65584.01,,2/2.3/2.5/2.7,8/4/22,Y,,,
