Bill No.,Session,Base URL w/o Bill ID,Session Appendage,Billnoappendage,Concat URL,URL to Bill Text,Hyperlink,Topic,Tags (No Code Ranges),Function,Code,Section,Bill Section,Code Division,Bill Section (With iterations),Date added to this list (thoroughness check),Checked for extra sections?,,,Special notes:
AB 306,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB306,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB306,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB306,Bill Text,Accessibility of Public Buildings - § 4450-4461,Accessibility of Public Buildings ,Exempts school or community college employee housing from some accessibility requirements,Government,§ 4454.5,3,,3,8/4/22,Y,,,
SB 897,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,SB897,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB897,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB897,Bill Text,,ADUs,Adds legislative intent that state grants fund Accessory Dwelling Unit (ADU) predevelopment,Not codified,,1,,1,,Y,,,
AB 1095,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB1095,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1095,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1095,Bill Text,Aff. Housing and Sustainable Comm. - § 75200-75218.2,Affordable Housing and Sustainable Communities (AHSC) program,Adds owner-occupied housing as a policy goal of Affordable Housing and Sustainable Communities program,Public Resources,§ 75210,2,,2,7/31/22,Y,,,
AB 1095,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB1095,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1095,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1095,Bill Text,Aff. Housing and Sustainable Comm. - § 75200-75218.2,Affordable Housing and Sustainable Communities (AHSC) program,Says owner-occupied housing projects are fundable w/ Affordable Housing and Sustainable Communities program funds,Public Resources,§ 75212,3,,3,7/31/22,Y,,,
AB 1095,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB1095,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1095,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1095,Bill Text,Aff. Housing and Sustainable Comm. - § 75200-75218.2,Affordable Housing and Sustainable Communities (AHSC) program,Requires Strategic Growth Council to adopt guidelines including owner-occupied affordable housing.,Public Resources,§ 75215,4,,4,7/31/22,Y,,,
AB 1095,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB1095,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1095,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1095,Bill Text,Aff. Housing and Sustainable Comm. - § 75200-75218.2,Affordable Housing and Sustainable Communities (AHSC) program,Allows Strategic Growth Council to adopt guidelines for allocating funding for home ownership opportunities,Public Resources,§ 75218.2,5,,5,7/31/22,Y,,,
AB 1304,2021,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB1304,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1304,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB1304,Bill Text,Affirmatively Furthering Fair Housing - § 8899.50,Affirmatively Furthering Fair Housing ,Clarifies that Affirmatively Furthering Fair Housing (AFFH) is mandatory,Government,§ 8899.50,1,,1,7/31/22,Y,,,
AB 686,2018,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,201720180,AB686,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB686,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB686,Bill Text,Affirmatively Furthering Fair Housing - § 8899.50,Affirmatively Furthering Fair Housing ,Requires localities to Affirmatively Further Fair Housing (AFFH).,Government,§ 8899.50,1,"Title 2, Division 1, Chapter 15: Affirmatively Furthering Fair Housing -  § 8899.50 - 8899.50",1,,Y,,,
AB 2011,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2011,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,Bill Text,Affordable Housing and High Road Jobs Act - § 65912.100 - 65912.140,Affordable Housing and High Road Jobs Act of 2022,"Defines terms, clarifies how units will be counted, requires reporting on outcomes",Government,§ 65912.100 - 65912.105 ,3,,3,11/9/22,Y,,,Article 1 of new section
AB 2011,2022,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=,202120220,AB2011,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,Bill Text,Affordable Housing and High Road Jobs Act - § 65912.100 - 65912.140,Affordable Housing and High Road Jobs Act of 2022,"Allows affordable developments in commercial zones, subject to streamlined, ministerial approval, under specified circumstances",Government,§ 65912.110 - 65912.114,3,,3,11/9/22,Y,,,Article 2 of new section
